Intended Graduate Major,VR: 130 - 134,VR: 135 - 139,VR: 140 - 144,VR: 145 - 149,VR: 150 - 154,VR: 155 - 159,VR: 160 - 164,VR: 165 - 169,VR: 170,VR: N,VR: Mean,VR: SD,QR: 130 - 134,QR: 135 - 139,QR: 140 - 144,QR: 145 - 149,QR: 150 - 154,QR: 155 - 159,QR: 160 - 164,QR: 165 - 169,QR: 170,QR: N,QR: Mean,QR: SD,AW: 0,AW: 0.5 & 1,AW: 1.5 & 2,AW: 2.5 & 3,AW: 3.5 & 4,AW: 4.5 & 5,AW: 5.5 & 6,AW: N,AW: Mean,AW: SD
11: Natural Sciences: Other,4.3,7.0,13.9,16.5,31.3,11.3,13.9,0.9,0.9,115.0,150.0,8.0,0.9,2.6,14.8,20.9,23.5,13.9,10.4,9.6,3.5,115.0,152.0,9.0,0.0,0.0,7.8,28.7,47.0,13.9,2.6,115.0,3.6,0.9
12: ENGINEERING,3.4,6.4,10.5,16.5,26.6,21.3,11.5,3.5,0.3,72611.0,151.0,8.0,0.2,0.8,2.0,4.8,10.7,17.3,25.8,30.7,7.7,72881.0,161.0,7.0,0.0,1.0,7.2,37.5,39.4,13.4,1.5,72488.0,3.4,0.9
13: Chemical Engineering,3.4,5.9,9.8,15.4,22.8,22.2,14.7,5.3,0.5,3485.0,152.0,9.0,0.1,0.6,1.8,5.7,12.8,19.7,26.3,26.9,6.0,3520.0,160.0,7.0,0.1,0.5,3.9,29.3,42.5,20.6,3.1,3464.0,3.7,0.9
14: Civil Engineering,4.1,6.8,10.5,16.8,29.7,20.2,9.3,2.4,0.2,8166.0,151.0,8.0,0.3,0.9,2.4,6.1,12.2,18.1,25.7,28.3,6.0,8209.0,160.0,7.0,0.1,1.7,11.7,40.3,34.8,10.5,0.9,8154.0,3.2,0.9
15: Electrical & Electronics Engineering,3.6,7.3,11.3,17.0,28.0,20.0,10.0,2.6,0.2,26992.0,151.0,8.0,0.1,0.8,2.0,3.9,8.2,14.2,24.8,36.0,10.0,27072.0,162.0,7.0,0.0,1.0,7.6,43.5,38.2,8.8,0.8,26976.0,3.3,0.8
16: Industrial Engineering,3.6,6.9,13.0,20.8,24.1,18.7,9.5,3.2,0.4,3604.0,150.0,8.0,0.2,0.8,2.8,6.0,13.0,20.0,24.6,26.1,6.4,3614.0,160.0,7.0,0.0,0.4,4.1,35.7,45.3,13.1,1.4,3592.0,3.5,0.8
17: Materials Engineering,1.5,5.0,9.2,13.0,22.2,24.1,17.4,6.7,0.8,2100.0,153.0,8.0,0.0,0.1,0.8,2.9,8.7,14.7,24.8,36.9,11.1,2105.0,163.0,6.0,0.0,0.3,2.7,30.6,42.5,20.5,3.3,2093.0,3.7,0.8
18: Mechanical Engineering,3.5,6.9,10.7,16.5,27.0,21.2,10.6,3.2,0.3,17314.0,151.0,8.0,0.3,0.9,1.9,4.6,11.1,17.2,27.8,29.6,6.6,17354.0,161.0,7.0,0.0,1.1,8.5,38.5,38.1,12.4,1.3,17295.0,3.4,0.9
19: Engineering: Other,2.3,3.8,7.8,14.4,22.8,25.5,17.0,6.0,0.5,10950.0,153.0,8.0,0.2,0.6,2.2,6.0,14.1,23.0,25.8,22.9,5.1,11007.0,159.0,7.0,0.1,0.5,3.4,23.4,44.4,24.7,3.5,10914.0,3.8,0.9
20: SOC. & BEHAVIORAL SCI.,1.2,3.5,8.2,16.1,22.4,22.9,16.8,7.9,1.0,67888.0,154.0,8.0,1.5,5.4,11.8,17.6,18.2,14.9,12.6,13.1,4.9,67961.0,154.0,10.0,0.0,0.3,2.5,19.4,44.0,28.2,5.6,67814.0,3.9,0.9
21: Anthropology & Archaeology,0.7,1.6,5.6,13.1,24.1,28.8,17.6,7.6,0.8,1704.0,155.0,7.0,2.2,7.2,14.8,27.1,23.8,14.4,6.6,3.1,0.6,1704.0,150.0,8.0,0.0,0.2,1.9,15.4,46.4,30.1,6.0,1704.0,4.0,0.8
22: Economics,1.5,3.6,6.8,11.4,19.6,22.8,21.6,11.3,1.4,18812.0,155.0,8.0,0.1,0.4,1.4,3.9,8.2,14.8,22.8,34.0,14.4,18870.0,162.0,7.0,0.0,0.2,2.5,25.2,45.2,22.0,4.8,18761.0,3.8,0.8
23: Political Science,0.5,1.5,3.9,9.1,17.2,24.9,25.5,14.7,2.6,10012.0,157.0,7.0,0.9,3.3,9.0,15.9,22.8,20.5,15.8,9.7,2.2,10015.0,154.0,8.0,0.0,0.1,1.2,10.9,35.7,39.4,12.7,10012.0,4.3,0.9
24: Psychology,1.1,3.8,10.2,20.9,25.7,22.5,11.5,3.9,0.3,32619.0,152.0,7.0,2.2,8.1,18.1,25.1,22.3,13.5,6.5,3.3,0.9,32628.0,149.0,8.0,0.0,0.3,2.7,18.7,46.3,28.3,3.8,32592.0,3.9,0.8
25: Sociology,1.6,4.0,8.0,14.7,21.3,22.2,18.3,8.9,0.9,2242.0,154.0,8.0,3.3,7.9,12.8,19.2,17.6,14.9,11.6,9.6,3.2,2244.0,152.0,10.0,0.0,0.6,2.7,17.3,40.5,31.0,8.0,2239.0,4.0,0.9
